features
population
poi_banking
poi_hotels
poi_leisure_active
poi_leisure_entertainment
poi_leisure_outdoor
poi_medical
poi_nature
poi_public_facilities
poi_religious
poi_restaurants
poi_tourism
poi_shopping
transport_bus
transport_rail
transport_other
diversity_poi
diversity_transp_opt
cent_bus_degree
cent_bus_closeness
cent_bus_betweenness
cent_rail_degree
cent_rail_closeness
cent_rail_betweenness
