Feature set,MSE,R2
All features,0.2912887547647879,0.822409164875946
Population,1.4378030753695286,0.12341055148183688
POI,0.6137694721705658,0.6258014380801047
Transport nodes,0.47566849929430804,0.7099978469814472
Transport centrality,0.6212021968009506,0.6212699079308444
All features with coordinates,0.2840045944609509,0.8268501193940166
