model,r2,mae,mse
Linear Regression,0.338554243322282,4126.736151955844,6789.596314742477
ANN,0.31128997197833896,4472.805253848253,8922.151668615243
XGBoost,0.6236332514394138,3030.39313665827,5783.9727525623675
