Timeband,MAE,MSE,R2
log_Total,0.57031091431584,0.687043484654584,0.8225539706157046
log_Morning,0.571176711542125,0.6140206311841192,0.8085496250972973
log_Midday,0.5486025100506491,0.628994504049477,0.8284610275410094
log_Evening,0.5930515720308772,0.6869475692080959,0.8185201159974891
log_Late,0.6005604512129222,0.6348210694784437,0.8240012076241102
