model,r2,mae,mse
Linear Regression,0.576167934720002,3533.117697245712,5671.784454419826
ANN,0.5263548861921235,3265.1304251266474,6273.826831899998
XGBoost,0.7163525304020167,2780.091969695105,5276.138910587806
