Timeband,R2,MSE,MAE
Total,0.791913812272219,0.6872648067734238,0.5636661056632363
Morning,0.7753109451035299,0.6239779764163897,0.5668880032500738
Midday,0.7986020924919609,0.6292412665418735,0.5452877438448654
Evening,0.7803167753103843,0.6848729124492097,0.5896212066135328
Late,0.7781704538470254,0.6225723832309021,0.5975641594465212
