Timeband,MAE,MSE,R2
log_Total,0.6553557067997641,0.8872960250533607,0.7739039139265005
log_Morning,0.6821412130627772,0.8900882548115678,0.7258737660059651
log_Midday,0.6241365494224109,0.7956665826978668,0.7857656897194245
log_Evening,0.7071322074530177,0.9356102596361733,0.7543424435699253
log_Late,0.7750195061824551,0.9971026888829002,0.7216421428198807
